BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,PLCB,PRCB,PLFB,PRFB,PKAC,PACC,PMPC,PPRC,RCHD,PGID,TGID,POID,PUND,PHPD,PSPD,PRSD,PGHE,PUHE,PPOE,PBRE,PEYE,TRAF,PPBF,PBSH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PPRI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,PTRK,PBTK,PTAL,PIBL,PHCL,PLEL,PREL,PLKL,PSPL,PLSL,PHLM,PSTM,PHAN,PJEN,PTEN,PLHN,PRHN,PLKN,PRKN,PLSO,PTHP,PIMP,PJMP,PTYP,PCAR,PSAR,PTAR,PLCR,PJER,PLKR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,PESV,PBFW,PLHW,PLTW,PLSY,PSTY,sgmp,
4,2,8,0,0,3,3,3,47,Daddy,Dirtbag,4,3,2,53,0,0,0,0,0,0,0,53,47,0,49,10921,80,1,80,0,0,52,0,51,0,55,0,1,48,34,50,3,3,49,2,2,54,0,40,0,45,45,50,0,0,44,52,52,0,46,0,15,15,0,0,11,6,15,0,48,0,0,0,2,2,1,48,68,50,0,44,45,0,0,0,0,47,0,11,48,46,49,45,10,10,44,33,2,0,47,2,11,52,45,21,21,48,8,20,76,16,55,52,0,44,10,16,0,54,54,47,52,51,50,47,50,37,0,0,0,0,0,
10,2,6,2,4,7,18,18,51,Daddy,Dirtbag,7,10,6,53,0,0,0,0,0,0,0,50,49,0,46,10803,81,1,81,0,0,52,0,169,0,50,0,0,52,68,45,3,3,51,2,2,54,0,40,1,51,51,47,0,0,7,54,47,0,48,0,11,11,0,0,10,3,26,0,32,1,0,0,1,1,1,49,68,47,0,49,54,0,0,0,0,54,0,10,49,54,50,49,0,0,72,68,3,0,49,2,2,45,50,5,20,47,0,5,72,0,50,47,10,54,10,5,0,50,49,52,53,54,45,48,51,73,0,0,0,0,0,
10,10,4,3,10,6,3,3,46,Daddy,Dirtbag,8,6,10,52,0,2,2,0,0,3,3,47,48,0,44,513,82,1,82,0,0,54,2,66,0,39,0,0,44,51,50,3,3,47,2,2,48,26,40,0,50,52,47,0,0,10,50,45,0,51,4,0,0,0,0,0,3,23,0,29,2,0,0,1,1,1,52,68,52,0,48,53,0,0,1,0,46,0,0,52,52,49,50,0,0,52,53,4,0,46,1,4,45,49,5,10,51,29,26,77,10,84,51,0,49,10,10,0,54,47,47,49,48,51,48,49,54,0,0,0,0,0,
6,10,7,2,10,6,0,0,46,Daddy,Dirtbag,5,10,10,45,0,3,3,0,0,3,3,47,45,0,47,2313,83,1,83,0,0,53,0,162,0,48,0,0,53,42,45,3,3,45,2,2,45,2,40,0,48,48,47,0,0,21,46,50,0,46,0,0,0,0,0,0,5,45,0,24,2,0,0,1,1,1,52,72,45,0,54,48,0,0,1,0,53,0,0,49,52,49,47,11,11,44,42,1,0,44,1,1,54,53,0,6,51,29,0,70,0,30,47,5,44,10,10,0,54,53,48,48,49,51,52,51,38,0,0,0,0,0,
10,2,6,0,4,7,3,3,53,Daddy,Dirtbag,7,10,6,53,0,1,1,1,1,0,0,51,54,0,52,1209,84,1,84,0,0,52,0,167,0,48,0,0,47,41,49,3,3,50,1,1,49,0,40,1,51,53,46,0,0,32,44,52,0,50,0,0,0,0,0,10,3,21,0,33,0,0,0,1,1,1,52,78,44,0,50,51,0,0,0,0,50,0,10,53,45,49,45,5,5,39,48,4,1,51,2,17,44,52,5,20,48,0,5,71,0,30,45,10,44,10,5,0,54,51,49,49,46,45,52,53,49,0,0,0,0,0,
6,10,7,0,10,6,0,0,44,Daddy,Dirtbag,5,10,10,53,0,2,2,3,3,0,0,44,48,0,50,10834,85,1,85,0,0,51,0,191,0,37,0,1,46,45,53,3,3,51,2,2,47,41,40,1,54,45,51,0,0,32,46,53,0,50,0,0,0,0,0,10,3,4,0,1,2,0,0,1,1,1,48,82,47,0,49,49,0,0,0,0,44,0,10,49,50,49,51,10,10,43,47,5,0,51,1,1,54,50,0,6,45,29,0,68,0,10,48,5,54,10,10,0,48,52,46,48,52,44,47,46,44,0,0,0,0,0,
6,10,7,0,10,6,3,3,51,Daddy,Dirtbag,5,10,10,53,0,0,0,3,3,0,0,47,47,0,46,10950,86,1,86,0,0,53,0,245,0,61,0,0,53,38,52,3,3,45,1,1,54,16,40,1,46,44,53,0,0,36,47,48,0,45,0,16,16,0,0,12,3,33,0,33,1,0,0,1,1,1,44,78,49,0,51,44,0,0,0,0,52,0,12,46,46,48,46,1,1,51,33,5,0,47,2,1,52,48,0,6,49,29,0,69,0,10,46,5,51,10,10,0,51,44,45,46,46,44,49,52,42,0,0,0,0,0,
6,10,7,3,10,6,0,0,51,Daddy,Dirtbag,5,10,10,46,0,0,0,0,0,0,0,49,54,0,53,2380,87,1,87,0,0,46,0,38,0,38,0,0,51,14,46,3,3,46,1,1,45,2,40,0,54,45,46,0,0,7,46,49,0,46,0,0,0,0,0,7,3,65,0,99,0,0,0,1,1,1,54,65,48,0,44,54,0,0,0,0,46,0,7,49,54,49,45,3,3,14,12,5,0,50,3,19,52,49,0,6,52,29,0,69,0,10,54,0,45,10,10,0,52,53,44,53,52,47,51,48,13,0,1,0,0,0,
8,10,5,0,10,7,3,3,50,Daddy,Dirtbag,7,8,7,45,0,0,0,0,0,0,0,53,50,0,51,8992,88,1,88,0,0,48,0,43,0,33,0,0,52,63,47,3,3,50,2,2,48,0,40,0,51,53,44,0,0,17,52,54,0,44,0,10,10,0,0,12,5,52,0,21,2,0,0,1,1,1,54,65,48,0,47,53,0,0,0,0,53,0,12,45,46,50,49,1,1,43,67,0,0,51,1,1,52,53,0,6,46,30,0,71,0,20,51,0,51,0,1,0,49,49,46,46,51,52,49,48,65,0,0,0,0,0,
10,10,0,2,3,9,13,13,47,Daddy,Dirtbag,6,10,7,49,0,0,0,0,0,0,0,49,47,0,49,92,89,1,89,0,0,51,0,31,0,58,0,0,53,75,52,4,4,51,2,2,50,0,40,0,46,44,46,0,0,41,53,48,0,53,0,15,15,1,0,0,3,38,0,63,1,0,0,2,2,1,46,65,49,0,49,46,0,0,0,1,52,0,0,53,54,49,50,0,0,79,60,2,0,51,5,6,52,54,24,15,50,20,20,72,15,70,44,0,53,15,14,0,46,48,50,50,50,50,44,51,60,0,0,0,0,0,
10,5,10,2,10,9,15,15,49,Daddy,Dirtbag,5,10,10,44,0,0,0,0,0,0,0,46,46,0,49,10917,90,1,90,0,0,49,0,93,0,41,0,0,45,40,49,3,3,49,1,1,45,0,40,0,46,54,54,0,0,13,50,50,0,54,0,11,11,0,0,0,3,47,0,47,0,0,0,1,1,1,50,62,47,0,50,51,0,0,1,0,44,0,0,50,44,49,49,6,6,45,37,3,0,46,3,10,46,48,21,21,46,15,20,73,17,80,46,0,51,15,16,0,47,48,52,50,54,52,52,51,41,0,0,0,0,0,
10,10,0,2,3,9,0,0,44,Daddy,Dirtbag,6,10,7,49,0,0,0,2,2,0,0,52,48,0,44,8848,91,1,91,0,0,46,0,66,0,64,0,0,53,22,50,3,3,47,2,2,50,0,40,0,52,54,45,0,0,3,46,48,0,46,1,12,12,0,0,12,1,31,0,95,0,0,0,1,1,1,48,68,52,0,48,48,0,0,0,0,52,0,12,50,45,48,44,4,4,50,32,4,0,47,1,10,47,44,24,15,54,20,20,76,15,85,50,0,52,15,14,0,46,51,47,48,45,44,52,52,34,0,0,0,0,0,
4,2,8,1,0,3,0,0,45,Daddy,Dirtbag,4,3,2,49,0,0,0,0,0,0,0,50,44,0,50,10845,92,1,92,0,0,48,2,64,0,51,0,0,51,42,46,3,3,47,1,1,53,20,40,0,50,48,44,0,0,44,45,46,0,48,0,11,11,0,0,11,6,33,0,90,0,0,0,1,1,1,47,78,46,0,51,44,0,0,0,0,45,0,11,52,52,48,50,0,0,43,42,3,0,53,1,10,50,46,21,21,46,8,20,75,16,75,45,0,53,10,16,0,44,54,50,51,44,48,52,49,45,0,0,0,0,0,
10,10,0,3,3,9,0,0,47,Daddy,Dirtbag,6,10,7,48,0,0,0,0,0,0,0,45,44,0,54,6187,93,1,93,0,0,54,0,65,0,56,0,0,47,77,47,4,4,49,2,2,48,11,40,0,53,47,54,0,0,43,47,46,0,44,4,7,7,1,0,0,6,20,0,68,2,0,0,2,2,1,44,62,53,0,51,44,0,0,0,1,51,0,0,54,45,48,44,0,0,81,78,5,0,52,5,6,44,44,24,15,46,20,20,75,15,95,47,0,44,15,14,0,46,48,49,53,50,51,53,48,79,0,1,0,0,0,
5,10,2,2,7,8,3,3,46,Daddy,Dirtbag,10,4,0,46,0,0,0,0,0,0,0,51,49,0,47,10753,94,1,94,0,0,45,0,7,0,60,0,1,44,38,47,3,3,44,2,2,44,7,40,0,45,45,48,0,0,45,50,54,0,54,0,14,14,0,0,6,6,18,0,49,0,0,0,1,1,1,49,84,46,0,49,49,0,0,0,0,53,0,6,52,53,48,48,14,14,42,41,4,1,46,1,13,47,44,5,26,53,10,11,73,9,60,48,8,51,4,10,0,45,47,45,52,54,52,47,45,41,0,0,0,0,0,
10,10,0,3,3,9,19,19,47,Daddy,Dirtbag,6,10,7,53,0,0,0,0,0,0,0,46,54,0,50,10978,95,1,95,0,0,54,0,186,0,32,0,0,45,77,52,4,4,54,2,2,48,2,40,0,54,54,48,0,0,20,44,49,0,44,0,11,11,1,0,0,5,22,0,59,1,0,0,2,2,1,54,72,50,0,54,51,0,0,0,1,47,0,0,54,51,49,47,2,2,81,73,3,0,49,5,8,44,49,24,15,46,20,20,74,15,90,46,0,44,15,14,0,49,49,52,44,53,48,49,49,77,0,1,0,0,0,
5,10,2,2,7,8,3,3,44,Daddy,Dirtbag,10,4,0,44,0,3,3,0,0,0,0,47,45,0,49,10851,96,1,96,0,0,50,0,1,0,69,0,1,50,39,54,3,3,44,2,2,45,33,40,0,44,54,48,0,0,45,52,52,0,44,0,0,0,0,0,5,6,34,0,43,1,0,0,2,2,1,50,78,48,0,45,47,0,0,0,0,46,0,5,47,46,48,44,13,13,42,40,6,0,48,3,15,50,52,5,26,49,10,11,74,9,60,50,8,51,4,10,0,48,44,47,44,48,51,44,50,38,0,0,0,0,0,
4,2,8,0,0,3,19,19,44,Daddy,Dirtbag,4,3,2,45,0,0,0,0,0,0,0,45,44,0,49,10798,97,1,97,0,0,47,0,66,0,24,0,1,46,74,53,4,4,48,2,2,50,6,40,0,53,51,54,0,0,37,54,54,0,51,0,0,0,1,0,0,3,49,0,64,0,0,0,2,2,1,54,72,48,0,46,44,0,0,1,1,45,0,0,44,52,49,50,0,0,76,87,4,0,51,5,5,45,48,21,21,52,8,20,76,16,95,48,0,44,10,16,0,44,46,48,52,48,52,49,53,77,0,0,0,0,0,
10,10,0,0,3,9,15,15,54,Daddy,Dirtbag,6,10,7,44,0,0,0,0,0,0,0,54,50,0,49,5669,98,1,98,0,0,52,0,22,0,40,0,0,50,80,46,4,4,47,2,2,46,0,40,0,48,44,48,0,0,37,53,53,0,49,2,14,14,1,0,0,3,11,0,71,0,0,0,2,2,1,45,76,54,0,52,46,0,0,0,1,46,0,0,50,44,48,44,10,10,71,86,3,0,53,3,8,45,49,24,15,48,20,20,75,15,115,50,0,44,15,14,0,49,50,50,49,47,45,46,44,71,0,0,0,0,0,
5,10,7,2,10,6,0,0,52,Daddy,Dirtbag,5,10,10,48,0,1,1,3,3,0,0,50,53,0,45,10878,99,1,99,0,0,53,0,69,0,35,0,0,50,40,54,3,3,53,2,2,45,4,40,0,49,48,54,0,1,21,48,45,0,51,0,0,0,0,0,10,5,40,0,2,2,0,0,2,2,1,51,74,47,0,44,49,0,0,1,0,48,0,10,50,51,50,54,7,1,39,38,3,0,46,1,0,48,54,4,6,46,29,0,69,0,15,45,5,54,10,10,0,51,48,50,49,54,49,48,50,39,1,1,0,0,0,
5,10,2,0,7,8,3,3,46,Daddy,Dirtbag,10,4,0,51,0,0,0,3,3,0,0,51,52,0,49,1339,100,1,100,0,0,50,0,43,0,54,0,1,46,21,50,3,3,44,2,2,52,0,40,0,54,45,50,0,0,21,53,54,0,51,1,9,9,0,0,10,5,32,0,40,2,0,0,1,1,1,51,74,45,0,53,54,0,0,0,0,46,0,10,50,45,50,53,10,10,41,20,3,0,50,3,14,54,46,5,26,47,10,11,72,9,50,51,8,50,4,10,0,53,51,44,53,48,47,44,53,23,0,0,0,0,0,
5,10,2,0,7,8,15,15,51,Daddy,Dirtbag,10,4,0,53,0,0,0,0,0,2,2,46,53,0,52,2376,101,1,101,0,0,44,0,9,0,52,0,0,52,43,53,3,3,52,1,1,54,4,40,0,51,54,51,0,0,44,53,51,0,50,2,0,0,0,0,9,6,53,0,39,0,0,0,1,1,1,53,68,45,0,49,53,0,0,0,0,44,0,9,51,50,50,46,0,0,37,45,5,0,46,3,13,48,48,5,26,51,10,11,73,9,65,48,8,44,4,10,0,47,52,54,49,45,50,46,50,43,0,0,0,0,0,
8,10,5,0,10,7,3,3,46,Daddy,Dirtbag,7,8,7,45,0,0,0,3,3,0,0,48,44,0,52,2310,102,1,102,0,0,54,2,193,0,46,0,1,49,18,48,3,3,45,1,1,49,7,40,1,53,47,46,0,0,17,49,52,0,48,4,12,12,0,0,10,5,19,0,4,2,0,0,1,1,1,54,65,53,0,48,50,0,0,0,0,47,0,10,54,50,49,46,4,4,46,37,4,0,44,3,16,54,53,0,6,54,30,0,71,0,0,47,7,45,0,1,0,45,53,49,47,52,53,49,52,41,0,1,0,0,0,
5,10,7,0,10,6,0,0,52,Daddy,Dirtbag,5,10,10,46,0,0,0,0,0,0,0,54,54,0,53,1147,103,1,103,0,0,54,2,68,0,48,0,0,48,22,51,3,3,47,2,2,49,2,40,0,47,52,48,0,1,9,50,54,0,45,2,0,0,0,0,12,3,44,0,7,2,0,0,1,1,1,50,65,46,0,47,51,0,0,0,0,47,0,12,47,53,49,51,9,0,39,22,0,0,50,3,0,46,46,4,6,47,29,0,69,0,15,46,5,49,10,10,0,52,47,51,51,45,47,51,48,23,0,1,0,0,0,
5,10,7,0,10,6,0,0,50,Daddy,Dirtbag,5,10,10,52,0,0,0,0,0,0,0,54,52,0,48,1311,104,1,104,0,0,44,2,160,0,32,0,0,47,14,51,3,3,48,2,2,53,11,40,0,47,52,53,0,1,17,44,53,0,53,2,0,0,0,0,12,5,44,0,12,2,0,0,2,2,1,45,70,50,0,51,48,0,0,0,0,49,0,12,49,49,50,49,9,10,13,41,6,0,52,3,0,49,45,4,6,47,29,0,74,0,48,53,5,46,10,10,0,54,44,53,49,45,47,54,52,28,0,1,0,0,0,
8,10,5,3,10,7,0,0,50,Daddy,Dirtbag,5,8,7,49,0,0,0,0,0,3,3,52,49,0,54,3879,105,1,105,0,0,54,0,50,0,38,0,0,53,12,48,3,3,53,1,1,50,0,40,0,44,44,48,0,0,17,45,47,0,44,2,10,10,0,0,10,5,6,0,19,0,0,0,1,1,1,53,65,50,0,51,50,0,0,0,0,50,0,10,52,48,50,52,3,3,19,11,4,0,47,1,20,46,49,0,6,51,30,0,72,0,22,45,0,50,0,1,0,44,54,52,53,53,54,53,46,19,0,1,0,0,0,
5,10,7,0,10,6,0,0,47,Daddy,Dirtbag,5,10,10,54,0,2,2,2,2,0,0,52,53,0,46,1055,106,1,106,0,0,44,0,39,0,40,0,0,52,38,45,3,3,51,2,2,48,0,40,0,52,45,54,0,1,21,52,54,0,47,0,0,0,0,0,12,5,50,1,9,2,0,0,1,1,1,54,68,46,0,53,51,0,0,0,0,51,0,12,46,49,50,48,0,9,37,38,4,1,50,1,0,46,46,4,6,51,29,0,73,0,30,50,5,53,10,10,0,49,49,44,50,54,47,51,52,36,0,1,0,0,0,
10,5,10,1,10,9,16,16,48,Daddy,Dirtbag,5,10,10,50,0,1,1,0,0,0,0,51,51,0,49,3138,107,1,107,0,0,53,0,65,0,32,0,1,45,22,47,3,3,49,2,2,45,0,40,0,50,52,45,0,0,21,53,52,0,52,2,0,0,0,0,12,5,34,0,87,0,0,0,2,2,1,48,68,46,0,49,46,0,0,0,0,54,0,12,52,48,49,52,14,14,19,20,0,0,45,1,11,53,53,21,21,54,15,20,74,17,80,46,0,49,15,16,0,44,45,49,44,50,52,47,53,21,0,0,0,0,0,
10,5,10,2,10,9,19,19,54,Daddy,Dirtbag,5,10,10,54,0,0,0,0,0,0,0,45,51,0,49,11820,108,1,108,0,0,49,2,66,0,56,0,1,54,41,46,3,3,46,2,2,53,13,40,0,47,52,48,0,0,43,47,44,0,50,0,13,13,0,0,12,6,35,0,98,0,0,0,1,1,1,51,70,52,0,52,53,0,0,0,0,44,0,12,44,48,49,51,14,14,44,43,3,0,47,3,11,45,45,21,21,44,15,20,72,17,80,54,0,46,15,16,0,44,46,44,47,50,52,51,45,43,0,0,0,0,0,
5,10,2,0,7,8,15,15,54,Daddy,Dirtbag,10,4,0,54,0,0,0,1,1,0,0,45,53,0,47,2380,109,1,109,0,0,49,0,198,0,38,0,0,45,42,50,3,3,53,2,2,49,2,40,0,47,50,50,0,0,45,54,51,0,49,2,0,0,0,0,7,6,57,0,53,1,0,0,2,2,1,53,78,47,0,45,53,0,0,0,0,50,0,7,44,53,49,50,1,1,45,46,5,0,47,3,15,46,51,5,26,45,10,11,74,9,60,48,8,51,4,10,0,49,51,44,46,51,45,45,44,45,0,0,0,0,0,
5,10,2,2,7,8,3,3,54,Daddy,Dirtbag,10,4,0,51,0,0,0,0,0,0,0,46,54,0,47,10835,110,1,110,0,0,47,0,169,0,54,0,0,44,39,54,3,3,50,2,2,50,10,40,1,53,50,44,0,0,21,53,47,0,50,2,0,0,0,0,5,5,43,0,55,1,0,0,1,1,1,53,70,48,0,54,46,0,0,0,0,48,0,5,52,48,50,53,11,11,41,41,4,0,51,3,15,47,51,5,26,52,10,11,74,9,60,44,8,50,4,10,0,53,49,44,51,49,51,51,50,41,0,0,0,0,0,
0,5,7,1,4,1,3,3,45,Daddy,Dirtbag,1,7,4,49,0,0,0,3,3,0,0,52,49,0,45,4424,111,1,111,0,0,46,2,168,0,61,0,0,51,39,50,3,3,51,2,2,46,0,40,1,49,50,46,0,0,44,45,44,0,52,0,12,12,0,0,12,6,9,0,44,2,0,0,1,1,1,51,68,49,0,46,47,0,0,0,0,51,0,12,54,52,49,44,4,4,41,41,3,0,44,2,14,49,47,15,23,46,7,5,72,12,60,54,0,44,15,13,0,47,45,52,51,46,51,53,54,38,0,0,0,0,0,
4,2,8,2,0,3,13,13,50,Daddy,Dirtbag,4,3,2,45,0,0,0,0,0,0,0,45,51,0,44,10838,112,1,112,0,0,44,0,187,0,39,0,0,47,81,48,4,4,50,2,2,48,2,40,0,53,51,44,0,0,42,50,48,0,48,2,15,15,1,0,0,6,20,0,77,2,0,0,2,2,1,49,76,47,0,54,48,0,0,0,1,52,0,0,54,45,50,52,0,0,80,71,3,0,54,5,9,47,53,21,21,52,8,20,78,16,95,51,0,50,10,16,0,48,53,49,54,47,54,54,48,84,0,0,0,0,0,
10,2,6,2,4,7,15,15,52,Daddy,Dirtbag,7,10,6,45,0,0,0,2,2,0,0,51,45,0,44,10575,113,1,113,0,0,54,0,167,0,56,0,1,48,42,54,3,3,52,1,1,46,20,40,0,49,44,50,0,0,10,52,52,0,45,0,0,0,0,0,7,3,19,0,36,0,0,0,1,1,1,52,72,52,0,51,48,0,0,0,0,54,0,7,47,52,50,51,11,11,41,44,3,0,52,3,14,54,50,5,20,45,0,5,74,0,47,48,10,44,10,5,0,46,47,52,49,54,46,52,53,42,0,0,0,0,0,
6,10,7,2,10,6,3,3,49,Daddy,Dirtbag,10,10,10,47,0,0,0,2,2,3,3,44,50,0,46,10957,114,1,114,0,0,52,0,161,0,76,0,1,52,46,54,3,3,53,1,1,51,2,40,0,45,44,49,0,0,9,51,45,0,52,0,0,0,0,0,7,3,15,0,21,2,0,0,1,1,1,49,86,45,0,53,48,0,0,0,0,54,0,7,49,48,50,52,10,10,40,42,3,0,50,2,18,51,48,0,6,49,29,0,69,0,25,51,5,53,10,10,0,46,44,54,48,50,53,53,51,43,0,0,0,0,0,
6,10,7,2,10,6,3,3,46,Daddy,Dirtbag,5,10,10,45,0,0,0,0,0,3,3,52,44,0,50,532,115,1,115,0,0,51,0,43,0,63,0,0,49,44,48,3,3,47,1,1,49,0,40,1,51,47,45,0,0,9,52,52,0,53,0,0,0,0,0,7,3,38,0,22,0,0,0,1,1,1,52,76,44,0,53,52,0,0,0,0,50,0,7,48,45,49,44,2,2,60,40,3,0,45,11,3,48,52,0,6,54,29,0,76,0,45,45,5,49,10,10,0,51,48,53,52,45,53,51,44,47,0,1,0,0,0,
